Algorithm, method_start, restart, dimension, step, a, s1, s2, fes, fx
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00000, 0.31641, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00000, 0.31641, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00000, 1.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00000, 1.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.00391, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.00391, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.06250, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.06250, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.31641, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 0.31641, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 1.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.00391, 1.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.00391, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.00391, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.06250, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.06250, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.31641, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 0.31641, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 1.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.06250, 1.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.00391, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.00391, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.06250, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.06250, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.31641, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 0.31641, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 1.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 0.31641, 1.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.00000, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.00391, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.00391, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.06250, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.06250, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.31641, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 0.31641, 221, 0.000045
NM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 1.00000, 512, 0.000046
ANM, adaptiveSimplex, None, 5, default, 1.00300, 1.00000, 1.00000, 221, 0.000045
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.00391, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.00391, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.06250, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.06250, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.31641, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 0.31641, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 1.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00000, 1.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.00391, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.00391, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.06250, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.06250, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.31641, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 0.31641, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 1.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.00391, 1.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.00391, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.00391, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.06250, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.06250, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.31641, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 0.31641, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 1.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.06250, 1.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.00391, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.00391, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.06250, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.06250, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.31641, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 0.31641, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 1.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 0.31641, 1.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.00391, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.00391, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.06250, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.06250, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.31641, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 0.31641, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 1.00000, 558, 0.000045
ANM, spendleySimplex, oriented, 5, default, -0.00300, 1.00000, 1.00000, 271, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.00391, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.00391, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.06250, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.06250, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.31641, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 0.31641, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 1.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00000, 1.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.00391, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.00391, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.06250, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.06250, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.31641, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 0.31641, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 1.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.00391, 1.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.00391, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.00391, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.06250, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.06250, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.31641, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 0.31641, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 1.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.06250, 1.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.00391, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.00391, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.06250, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.06250, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.31641, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 0.31641, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 1.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 0.31641, 1.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.00000, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.00391, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.00391, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.06250, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.06250, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.31641, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 0.31641, 204, 0.000046
NM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 1.00000, 581, 0.000045
ANM, spendleySimplex, oriented, 5, default, 1.00300, 1.00000, 1.00000, 204, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.00391, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.00391, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.06250, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.06250, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.31641, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 0.31641, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 1.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00000, 1.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.00391, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.00391, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.06250, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.06250, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.31641, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 0.31641, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 1.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.00391, 1.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.00391, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.00391, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.06250, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.06250, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.31641, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 0.31641, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 1.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.06250, 1.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.00391, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.00391, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.06250, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.06250, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.31641, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 0.31641, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 1.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 0.31641, 1.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.00391, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.00391, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.06250, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.06250, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.31641, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 0.31641, 271, 0.000046
NM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 1.00000, 591, 0.000045
ANM, spendleySimplex, None, 5, default, -0.00300, 1.00000, 1.00000, 271, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.00391, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.00391, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.06250, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.06250, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.31641, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 0.31641, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 1.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00000, 1.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.00391, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.00391, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.06250, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.06250, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.31641, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 0.31641, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 1.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.00391, 1.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.00391, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.00391, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.06250, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.06250, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.31641, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 0.31641, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 1.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.06250, 1.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.00391, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.00391, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.06250, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.06250, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.31641, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 0.31641, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 1.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 0.31641, 1.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.00000, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.00391, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.00391, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.06250, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.06250, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.31641, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 0.31641, 206, 0.000046
NM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 1.00000, 581, 0.000045
ANM, spendleySimplex, None, 5, default, 1.00300, 1.00000, 1.00000, 206, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.00391, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.00391, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.06250, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.06250, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.31641, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 0.31641, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 1.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00000, 1.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.00391, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.00391, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.06250, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.06250, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.31641, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 0.31641, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 1.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.00391, 1.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.00391, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.00391, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.06250, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.06250, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.31641, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 0.31641, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 1.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.06250, 1.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.00391, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.00391, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.06250, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.06250, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.31641, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 0.31641, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 1.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 0.31641, 1.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.00391, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.00391, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.06250, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.06250, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.31641, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 0.31641, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 1.00000, 444, 0.000046
ANM, minimalPosBasis, oriented, 5, default, -0.00300, 1.00000, 1.00000, 190, 0.000046
NM, minimalPosBasis, oriented, 5, default, 1.00300, 0.00000, 0.00000, 1219, 0.000045
ANM, minimalPosBasis, oriented, 5, default, 1.00300, 0.00000, 0.00000, 591, 0.000045
NM, minimalPosBasis, oriented, 5, default, 1.00300, 0.00000, 0.00391, 1219, 0.000045
