Algorithm, method_start, restart, dimension, step, a, s1, s2, fes, fx
NM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
ANM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
NM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
ANM, rOptimSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
NM, rOptimSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
ANM, rOptimSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
NM, rOptimSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
ANM, rOptimSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
NM, adaptiveSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, adaptiveSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, adaptiveSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, adaptiveSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, adaptiveSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 8333, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 8333, 0.000018
NM, adaptiveSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 8333, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 8333, 0.000018
NM, adaptiveSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 8333, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 8333, 0.000018
NM, adaptiveSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 8333, 0.000018
ANM, adaptiveSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 8333, 0.000018
NM, adaptiveSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, adaptiveSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, adaptiveSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, adaptiveSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, adaptiveSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, adaptiveSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, adaptiveSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, adaptiveSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, adaptiveSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 8333, 0.000018
ANM, adaptiveSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 8333, 0.000018
NM, adaptiveSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 8333, 0.000018
ANM, adaptiveSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 8333, 0.000018
NM, adaptiveSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 8333, 0.000018
ANM, adaptiveSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 8333, 0.000018
NM, adaptiveSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 8333, 0.000018
ANM, adaptiveSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 8333, 0.000018
NM, spendleySimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, spendleySimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, spendleySimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, spendleySimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, spendleySimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, spendleySimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, spendleySimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, spendleySimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, spendleySimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 9090, 0.000018
ANM, spendleySimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 9090, 0.000018
NM, spendleySimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 9090, 0.000018
ANM, spendleySimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 9090, 0.000018
NM, spendleySimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 9090, 0.000018
ANM, spendleySimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 9090, 0.000018
NM, spendleySimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 9090, 0.000018
ANM, spendleySimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 9090, 0.000018
NM, spendleySimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, spendleySimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, spendleySimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, spendleySimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, spendleySimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, spendleySimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, spendleySimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, spendleySimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, spendleySimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 9090, 0.000018
ANM, spendleySimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 9090, 0.000018
NM, spendleySimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 9090, 0.000018
ANM, spendleySimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 9090, 0.000018
NM, spendleySimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 9090, 0.000018
ANM, spendleySimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 9090, 0.000018
NM, spendleySimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 9090, 0.000018
ANM, spendleySimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 9090, 0.000018
NM, minimalPosBasis, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasis, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasis, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasis, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasis, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasis, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasis, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasis, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasis, oriented, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
ANM, minimalPosBasis, oriented, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
NM, minimalPosBasis, oriented, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
ANM, minimalPosBasis, oriented, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
NM, minimalPosBasis, oriented, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
ANM, minimalPosBasis, oriented, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
NM, minimalPosBasis, oriented, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
ANM, minimalPosBasis, oriented, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
NM, minimalPosBasis, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasis, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasis, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasis, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasis, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasis, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasis, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasis, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasis, None, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
ANM, minimalPosBasis, None, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
NM, minimalPosBasis, None, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
ANM, minimalPosBasis, None, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
NM, minimalPosBasis, None, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
ANM, minimalPosBasis, None, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
NM, minimalPosBasis, None, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
ANM, minimalPosBasis, None, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
